Date,Price,Open,High,Low,Vol,Change %
10/30/2023,"26,100.00","28,000.00","28,000.00","26,100.00",105.30K,-6.79%
10/27/2023,"28,000.00","26,700.00","28,200.00","26,300.00",75.63K,0.36%
10/26/2023,"27,900.00","30,600.00","30,600.00","27,700.00",260.91K,-9.12%
10/25/2023,"30,700.00","30,800.00","31,300.00","30,600.00",95.74K,-0.32%
10/24/2023,"30,800.00","30,600.00","31,300.00","30,300.00",77.81K,0.65%
10/23/2023,"30,600.00","32,000.00","32,000.00","30,500.00",77.15K,-4.08%
10/20/2023,"31,900.00","29,600.00","31,900.00","28,800.00",155.44K,7.77%
10/19/2023,"29,600.00","30,500.00","30,800.00","29,500.00",136.77K,-2.31%
10/18/2023,"30,300.00","32,600.00","33,000.00","29,700.00",281.71K,-7.90%
10/17/2023,"32,900.00","33,600.00","34,100.00","32,900.00",116.82K,-2.08%
10/16/2023,"33,600.00","34,700.00","34,800.00","33,600.00",175.74K,-2.04%
10/13/2023,"34,300.00","34,500.00","34,800.00","34,000.00",121.01K,-1.15%
10/12/2023,"34,700.00","34,600.00","35,300.00","34,300.00",207.81K,0.58%
10/11/2023,"34,500.00","34,400.00","34,700.00","34,000.00",127.83K,0.58%
10/10/2023,"34,300.00","34,100.00","34,800.00","34,100.00",243.69K,0.88%
10/9/2023,"34,000.00","33,700.00","34,300.00","33,700.00",112.00K,1.19%
10/6/2023,"33,600.00","33,100.00","33,600.00","32,500.00",82.01K,1.51%
10/5/2023,"33,100.00","33,600.00","34,000.00","32,900.00",94.65K,-0.60%
10/4/2023,"33,300.00","33,000.00","33,500.00","32,000.00",120.58K,4.06%
10/3/2023,"32,000.00","34,500.00","34,600.00","32,000.00",217.64K,-6.71%
10/2/2023,"34,300.00","33,800.00","34,500.00","33,500.00",121.14K,1.48%
9/29/2023,"33,800.00","34,400.00","34,500.00","33,000.00",75.72K,1.20%
9/28/2023,"33,400.00","34,000.00","34,500.00","33,300.00",138.30K,0.30%
9/27/2023,"33,300.00","32,800.00","33,500.00","32,300.00",153.43K,1.52%
9/26/2023,"32,800.00","32,000.00","33,500.00","32,000.00",246.79K,0.31%
9/25/2023,"32,700.00","35,300.00","35,500.00","32,500.00",210.00K,-6.30%
9/22/2023,"34,900.00","36,300.00","36,300.00","34,000.00",349.42K,-4.38%
9/21/2023,"36,500.00","36,800.00","37,500.00","36,500.00",366.03K,-0.27%
9/20/2023,"36,600.00","36,200.00","36,600.00","36,200.00",140.33K,1.10%
9/19/2023,"36,200.00","36,200.00","36,600.00","35,700.00",147.78K,0.28%
9/18/2023,"36,100.00","37,100.00","37,100.00","35,800.00",332.36K,-2.70%
9/15/2023,"37,100.00","38,500.00","38,500.00","36,900.00",188.44K,0.54%
9/14/2023,"36,900.00","37,700.00","38,500.00","36,900.00",432.95K,-2.12%
9/13/2023,"37,700.00","37,300.00","38,900.00","37,200.00",590.64K,1.89%
9/12/2023,"37,000.00","36,400.00","37,000.00","36,400.00",208.74K,1.65%
9/11/2023,"36,400.00","37,200.00","37,500.00","36,400.00",322.17K,-0.82%
9/8/2023,"36,700.00","37,000.00","37,100.00","36,600.00",211.54K,-0.81%
9/7/2023,"37,000.00","36,300.00","37,300.00","36,300.00",441.64K,1.93%
9/6/2023,"36,300.00","35,900.00","36,500.00","35,600.00",216.24K,1.11%
9/5/2023,"35,900.00","36,500.00","36,500.00","35,700.00",189.02K,0.84%
8/31/2023,"35,600.00","35,100.00","36,400.00","34,800.00",289.12K,2.59%
8/30/2023,"34,700.00","34,700.00","34,900.00","34,500.00",185.97K,-0.29%
8/29/2023,"34,800.00","35,300.00","35,400.00","34,500.00",179.71K,-0.57%
8/28/2023,"35,000.00","35,100.00","35,300.00","34,800.00",158.66K,-0.28%
8/25/2023,"35,100.00","34,600.00","35,300.00","34,600.00",293.12K,1.45%
8/24/2023,"34,600.00","34,300.00","34,800.00","34,200.00",168.51K,0.87%
8/23/2023,"34,300.00","34,300.00","34,800.00","34,200.00",274.12K,0.88%
8/22/2023,"34,000.00","33,300.00","34,300.00","32,400.00",399.92K,2.10%
8/21/2023,"33,300.00","34,300.00","34,700.00","33,300.00",271.90K,-2.92%
8/18/2023,"34,300.00","38,100.00","38,100.00","34,300.00",685.43K,-9.97%
8/17/2023,"38,100.00","38,500.00","38,700.00","38,100.00",188.09K,-1.04%
8/16/2023,"38,500.00","38,500.00","38,900.00","38,200.00",162.24K,0.00%
8/15/2023,"38,500.00","38,200.00","38,700.00","38,200.00",143.16K,0.79%
8/14/2023,"38,200.00","38,400.00","39,000.00","38,000.00",239.24K,0.26%
