Date,Price,Open,High,Low,Vol,Change %
10/27/2023,"73,600.00","73,800.00","74,000.00","72,600.00",343.60K,-0.54%
10/26/2023,"74,000.00","74,000.00","74,000.00","72,000.00",904.70K,-0.40%
10/25/2023,"74,300.00","74,800.00","75,600.00","74,300.00",353.80K,-0.67%
10/24/2023,"74,800.00","74,800.00","75,000.00","74,000.00",282.70K,0.67%
10/23/2023,"74,300.00","75,900.00","75,900.00","74,300.00",421.00K,-1.46%
10/20/2023,"75,400.00","75,500.00","76,500.00","75,000.00",265.30K,-0.66%
10/19/2023,"75,900.00","77,000.00","77,600.00","75,900.00",569.30K,-1.43%
10/18/2023,"77,000.00","79,000.00","79,000.00","75,500.00",640.50K,-2.65%
10/17/2023,"79,100.00","80,000.00","80,100.00","79,100.00",216.10K,-1.00%
10/16/2023,"79,900.00","80,600.00","80,600.00","79,400.00",520.20K,0.13%
10/13/2023,"79,800.00","80,000.00","80,400.00","79,300.00",286.70K,-0.25%
10/12/2023,"80,000.00","80,600.00","81,200.00","80,000.00",315.40K,-0.37%
10/11/2023,"80,300.00","80,100.00","80,300.00","79,800.00",300.50K,1.01%
10/10/2023,"79,500.00","81,000.00","81,400.00","79,300.00",473.70K,-0.63%
10/9/2023,"80,000.00","79,000.00","80,400.00","78,100.00",560.60K,2.56%
10/6/2023,"78,000.00","78,200.00","78,200.00","77,500.00",195.30K,0.26%
10/5/2023,"77,800.00","78,200.00","78,400.00","77,700.00",155.70K,0.26%
10/4/2023,"77,600.00","77,400.00","78,000.00","77,100.00",332.80K,0.13%
10/3/2023,"77,500.00","79,400.00","79,400.00","77,500.00",442.20K,-1.77%
10/2/2023,"78,900.00","78,800.00","80,500.00","78,500.00",270.90K,0.13%
9/29/2023,"78,800.00","78,500.00","79,400.00","78,500.00",136.60K,0.38%
9/28/2023,"78,500.00","79,000.00","79,000.00","78,300.00",332.70K,-0.76%
9/27/2023,"79,100.00","78,500.00","79,700.00","78,000.00",413.50K,0.76%
9/26/2023,"78,500.00","79,300.00","80,000.00","78,500.00",570.40K,-1.63%
9/25/2023,"79,800.00","81,500.00","81,500.00","79,500.00",574.70K,-1.48%
9/22/2023,"81,000.00","81,100.00","81,900.00","79,900.00",1.00M,-1.94%
9/21/2023,"82,600.00","82,700.00","82,800.00","81,100.00",552.70K,-0.12%
9/20/2023,"82,700.00","81,400.00","82,800.00","80,800.00",593.50K,1.85%
9/19/2023,"81,200.00","81,500.00","81,700.00","80,300.00",581.80K,-0.37%
9/18/2023,"81,500.00","80,900.00","82,100.00","80,500.00",416.60K,0.12%
9/15/2023,"81,400.00","81,300.00","82,000.00","80,700.00",664.60K,0.25%
9/14/2023,"81,200.00","83,300.00","83,300.00","81,200.00",483.40K,-2.52%
9/13/2023,"83,300.00","84,000.00","84,400.00","82,900.00",782.50K,-0.36%
9/12/2023,"83,600.00","83,000.00","83,600.00","82,100.00",510.00K,0.00%
9/11/2023,"83,600.00","84,500.00","84,500.00","81,500.00",816.70K,-0.48%
9/8/2023,"84,000.00","83,600.00","84,600.00","83,300.00",695.30K,-0.24%
9/7/2023,"84,200.00","82,100.00","85,300.00","81,500.00",1.81M,3.82%
9/6/2023,"81,100.00","81,000.00","81,100.00","80,400.00",721.80K,0.75%
9/5/2023,"80,500.00","81,100.00","81,200.00","80,200.00",346.00K,0.00%
8/31/2023,"80,500.00","80,500.00","81,300.00","80,500.00",728.00K,-0.25%
8/30/2023,"80,700.00","80,500.00","80,800.00","79,900.00",506.00K,0.37%
8/29/2023,"80,400.00","80,000.00","80,900.00","79,500.00",768.00K,1.13%
8/28/2023,"79,500.00","78,900.00","79,500.00","78,300.00",456.60K,1.53%
8/25/2023,"78,300.00","77,800.00","78,600.00","77,300.00",593.00K,0.38%
8/24/2023,"78,000.00","77,300.00","78,200.00","77,300.00",258.40K,0.65%
8/23/2023,"77,500.00","78,100.00","78,500.00","77,100.00",329.10K,-1.27%
8/22/2023,"78,500.00","79,000.00","79,000.00","77,100.00",545.50K,-0.63%
8/21/2023,"79,000.00","79,500.00","79,500.00","77,000.00",550.30K,0.64%
8/18/2023,"78,500.00","79,300.00","80,000.00","76,000.00",971.00K,-2.12%
8/17/2023,"80,200.00","80,200.00","80,500.00","78,000.00",726.90K,0.00%
8/16/2023,"80,200.00","79,000.00","80,200.00","78,600.00",586.80K,1.52%
8/15/2023,"79,000.00","79,300.00","79,400.00","78,300.00",713.40K,-0.50%
8/14/2023,"79,400.00","80,000.00","80,000.00","79,100.00",519.10K,0.00%
8/11/2023,"79,400.00","79,200.00","80,600.00","79,000.00",568.90K,0.51%
8/10/2023,"79,000.00","80,300.00","80,500.00","78,900.00",1.18M,-1.62%
8/9/2023,"80,300.00","81,400.00","81,400.00","80,300.00",596.70K,-1.35%
8/8/2023,"81,400.00","82,600.00","82,600.00","80,900.00",578.20K,-0.97%
8/7/2023,"82,200.00","80,900.00","82,200.00","80,600.00",618.40K,1.73%
8/4/2023,"80,800.00","81,300.00","81,600.00","80,200.00",1.24M,-0.62%
8/3/2023,"81,300.00","81,500.00","82,100.00","80,400.00",555.50K,-0.25%
8/2/2023,"81,500.00","81,000.00","81,500.00","80,100.00",434.60K,0.62%
8/1/2023,"81,000.00","82,900.00","83,400.00","81,000.00",2.55M,-2.41%
7/31/2023,"83,000.00","82,800.00","84,100.00","82,300.00",1.25M,0.48%
7/28/2023,"82,600.00","81,200.00","82,800.00","81,200.00",1.27M,2.10%
7/27/2023,"80,900.00","81,800.00","81,800.00","80,200.00",988.00K,-1.10%
7/26/2023,"81,800.00","80,500.00","82,000.00","80,100.00",1.61M,1.61%
7/25/2023,"80,500.00","79,500.00","81,000.00","79,000.00",1.92M,1.51%
7/24/2023,"79,300.00","80,100.00","80,500.00","78,900.00",1.35M,-0.88%
7/21/2023,"80,000.00","79,200.00","80,700.00","78,700.00",1.05M,1.39%
7/20/2023,"78,900.00","78,700.00","78,900.00","78,000.00",701.00K,0.38%
7/19/2023,"78,600.00","79,700.00","79,800.00","78,500.00",1.02M,-1.38%
7/18/2023,"79,700.00","79,800.00","80,400.00","79,000.00",1.04M,-0.75%
7/17/2023,"80,300.00","78,800.00","80,600.00","78,400.00",2.52M,2.29%
7/14/2023,"78,500.00","80,200.00","80,200.00","77,900.00",1.45M,0.64%
7/13/2023,"78,000.00","74,200.00","78,100.00","74,100.00",3.89M,5.69%
7/12/2023,"73,800.00","74,700.00","74,700.00","73,800.00",920.50K,-0.94%
7/11/2023,"74,500.00","73,700.00","74,800.00","73,700.00",1.31M,1.09%
